"Var2";"Var1";"value";"Group1";"Specialization1";"Focus1";"Group2";"Specialization2";"Focus2"
"NIHSAD";"The Telegraph";1;"online news source";"general";"international";"laboratory";"specialized";"national"
"NIHSAD";"The Indian Tribune";1;"online news source";"general";"national";"laboratory";"specialized";"national"
"NIHSAD";"India Today";1;"online news source";"general";"national";"laboratory";"specialized";"national"
"Novinite.com (Sofia News Agency)";"HealthMap";1;"EBS tool";"general";"international";"press agency";"general";"international"
"Odisha Bytes";"HealthMap";3;"EBS tool";"general";"international";"online news source";"general";"local"
"OIE";"Financial Tribune";1;"online news source";"general";"international";"international vet auth.";"specialized";"international"
"OIE";"ProMED";2;"EBS tool";"specialized";"international";"international vet auth.";"specialized";"international"
"OIE";"UAE Ministery of Climate Change and Environment";3;"national off. auth.";"specialized";"national";"international vet auth.";"specialized";"international"
"OIE";"Emirates247";1;"online news source";"general";"international";"international vet auth.";"specialized";"international"
"OIE";"HealthMap";2;"EBS tool";"general";"international";"international vet auth.";"specialized";"international"
"OIE";"Xinhua";2;"press agency";"general";"international";"international vet auth.";"specialized";"international"
"OIE";"Reuters";6;"press agency";"general";"international";"international vet auth.";"specialized";"international"
"Patna Zoo Director";"Times of India";1;"online news source";"general";"national";"local off. auth.";"general";"local"
"Physician's Weekly";"HealthMap";1;"EBS tool";"general";"international";"online news source";"general";"international"
"Pioneer Press";"HealthMap";1;"EBS tool";"general";"international";"online news source";"general";"international"
"ProMED";"HealthMap";4;"EBS tool";"general";"international";"EBS tool";"specialized";"international"
"Pulse.ng";"HealthMap";1;"EBS tool";"general";"international";"online news source";"general";"international"
"Quang Nam agriculture center";"Xinhua";1;"press agency";"general";"international";"local vet auth.";"specialized";"local"
"Ranchi zoo vet";"The Moveefy";1;"online news source";"general";"national";"local vet auth.";"specialized";"local"
"Regional Diseases Diagnotic Laboratory";"Business Standard";1;"online news source";"general";"international";"laboratory";"specialized";"local"
"Regional Diseases Diagnotic Laboratory";"The Hindu";1;"online news source";"general";"national";"laboratory";"specialized";"local"
"Reuters";"Agriculture.com";1;"online news source";"specialized";"international";"press agency";"general";"international"
"Reuters";"Yahoo News";1;"online news source";"general";"international";"press agency";"general";"international"
"Reuters";"American Veterinary Medical Association";1;"research org.";"specialized";"national";"press agency";"general";"international"
"Reuters";"HealthMap";8;"EBS tool";"general";"international";"press agency";"general";"international"
"Reuters";"The Strait Times";1;"online news source";"general";"international";"press agency";"general";"international"
"Reuters";"WSAU";1;"radio, TV";"general";"international";"press agency";"general";"international"
"Reuters";"Channel NewsAsia";1;"online news source";"general";"international";"press agency";"general";"international"
"Reuters";"Physician's Weekly";1;"online news source";"general";"international";"press agency";"general";"international"
"Reuters";"Twitter";5;"social platform";"general";"international";"press agency";"general";"international"
"Russia Vet Auth";"OIE";2;"international vet auth.";"specialized";"international";"national vet auth.";"specialized";"national"
"Sabah Veterinary Services Department";"The Strait Times";2;"online news source";"general";"international";"local vet auth.";"specialized";"local"
"Sabah Veterinary Services Department";"Malaysia Vet Auth";1;"national vet auth.";"specialized";"national";"local vet auth.";"specialized";"local"
"Sabah Veterinary Services Department";"The Malaysian Insight";1;"online news source";"general";"national";"local vet auth.";"specialized";"local"
"Sabbah Vet Auth";"The Star Online";1;"online news source";"general";"international";"local vet auth.";"specialized";"local"
"Setopati";"HealthMap";1;"EBS tool";"general";"international";"online news source";"general";"international"
"Shine News";"HealthMap";1;"EBS tool";"general";"international";"online news source";"general";"international"
"Star Tribune";"American Veterinary Medical Association";1;"research org.";"specialized";"national";"online news source";"general";"international"
"Taiwan News";"HealthMap";2;"EBS tool";"general";"international";"online news source";"general";"national"
"Taiwan Vet Auth";"Focus Taiwan";1;"press agency";"general";"national";"national vet auth.";"specialized";"national"
"The Himalayan Times";"HealthMap";1;"EBS tool";"general";"international";"online news source";"general";"local"
"The Hindu";"HealthMap";1;"EBS tool";"general";"international";"online news source";"general";"national"
"The Indian Tribune";"HealthMap";2;"EBS tool";"general";"international";"online news source";"general";"national"
"The Malaysian Insight";"HealthMap";1;"EBS tool";"general";"international";"online news source";"general";"national"
"The Moveefy";"HealthMap";2;"EBS tool";"general";"international";"online news source";"general";"national"
"The Namibian";"HealthMap";1;"EBS tool";"general";"international";"online news source";"general";"national"
"The Poultry Site";"ProMED";1;"EBS tool";"specialized";"international";"online news source";"specialized";"international"
"The Poultry Site";"HealthMap";2;"EBS tool";"general";"international";"online news source";"specialized";"international"
"The Star Online";"HealthMap";2;"EBS tool";"general";"international";"online news source";"general";"international"
"The Strait Times";"HealthMap";3;"EBS tool";"general";"international";"online news source";"general";"international"
"The Telegraph";"HealthMap";1;"EBS tool";"general";"international";"online news source";"general";"international"
"The Tribune";"HealthMap";1;"EBS tool";"general";"international";"online news source";"general";"international"
"Times of India";"Crofsblog";1;"social platform";"specialized";"international";"online news source";"general";"national"
"Times of India";"HealthMap";5;"EBS tool";"general";"international";"online news source";"general";"national"
"Today.ng";"HealthMap";1;"EBS tool";"general";"international";"online news source";"general";"national"
"Twitter";"HealthMap";17;"EBS tool";"general";"international";"social platform";"general";"international"
"UAE Environmental Ministry";"MENAFN";1;"online news source";"general";"international";"national off. auth.";"specialized";"national"
"UAE Ministery of Climate Change and Environment";"The Poultry Site";3;"online news source";"specialized";"international";"national off. auth.";"specialized";"national"
"UAE Vet Auth";"OIE";2;"international vet auth.";"specialized";"international";"national vet auth.";"specialized";"national"
"United News of India";"HealthMap";3;"EBS tool";"general";"international";"press agency";"general";"national"
"US Vet Auth";"OIE";2;"international vet auth.";"specialized";"international";"national vet auth.";"specialized";"national"
"USA National Oceanic and Atmospheric Administration";"WGME";1;"press agency";"general";"local";"research org.";"specialized";"national"
"Vietnam Vet Auth";"OIE";1;"international vet auth.";"specialized";"international";"national vet auth.";"specialized";"national"
"Vietnam Vet Auth";"VnExpress International";1;"online news source";"general";"international";"national vet auth.";"specialized";"national"
"VietnamNews";"HealthMap";1;"EBS tool";"general";"international";"online news source";"general";"national"
"VnExpress International";"HealthMap";1;"EBS tool";"general";"international";"online news source";"general";"international"
"WGME";"HealthMap";1;"EBS tool";"general";"international";"press agency";"general";"local"
"Whatsapp";"The Star Online";1;"online news source";"general";"international";"social platform";"general";"international"
"WSAU";"HealthMap";1;"EBS tool";"general";"international";"radio, TV";"general";"international"
"Xinhua";"HealthMap";5;"EBS tool";"general";"international";"press agency";"general";"international"
"Yahoo News";"HealthMap";1;"EBS tool";"general";"international";"online news source";"general";"international"
"Yonhap News";"HealthMap";1;"EBS tool";"general";"international";"press agency";"general";"international"
"Zeenews";"HealthMap";1;"EBS tool";"general";"international";"online news source";"general";"international"
